ファイル名,フォルダー属性,タイトル,一覧用タイトル,レイアウト,並び順,ページレイアウト,ショートカット,既定のモジュール,キーワード,概要,サマリー,検索条件(URL),リスト並び順,表示件数,NEWマーク期間,ループHTML形式,上部HTML,ループHTML(SHIRASAGI形式),下部HTML,ループHTML(Liquid形式),ページ未検出時表示,代替HTML,カテゴリー設定,公開日時種別,公開日時,管理グループ,ステータス
attention,category/page,注目情報,,記事一覧 (more.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
search,event/search,イベント検索,,イベント検索 (event-search.layout.html),0,,非表示,,,,,calendar,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
archive,cms/archive,アーカイブ,,記事一覧 (more.layout.html),0,記事レイアウト (pages.layout.html),非表示,,記事,,,docs,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
calendar,event/page,イベントカレンダー,,イベントトップ (event-top.layout.html),0,,非表示,,自治体サンプル,,,docs,,100,1,,,,,,,,"文化・芸術 (calendar/bunka)
講演・講座 (calendar/kohen)
スポーツ (calendar/sports)",手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
css,uploader/file,CSS,,,0,,表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
ad,ads/banner,広告バナー,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
comment,inquiry/node,パブリックコメント,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,パブリックコメント一覧です。,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
comment01,inquiry/form,シラサギ市政について,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,パブリックコメント,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
anpi-ezine,ezine/category_node,安否メールマガジン,,メールマガジン (ezine.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
anpi,ezine/member_page,安否確認,,メールマガジン (ezine.layout.html),0,,非表示,,安否メールマガジン,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
ckan,ckan/page,CKAN,,記事一覧 (more.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
board,board/post,災害掲示板,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:02,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
anpi,board/anpi_post,安否掲示板,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:02,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
faq,category/node,よくある質問,,FAQトップ (faq-top.layout.html),0,,非表示,,自治体サンプル,,,,指定順（昇順）,100,1,Liquid,,,,"{% for node in nodes %}
{% if forloop.first == true %}
<div class=""deepest-catelist-wrap"">
  <section class=""deepest-catelist"">
    <ul class=""deepest-catelist__list"">
      {% endif %}
      <li class=""deepest-catelist__item deepest-catelist__item--{{ node.css_class }}"">
        <header class=""deepest-catelist__item-header"">
          <h2 class=""deepest-catelist__item-title""><a href=""{{ node.url }}"" class=""deepest-catelist__item-link"">{{ node.name }}</a></h2>
        </header><!-- .deepest-catelist__item-header -->
      </li><!-- .deepest-catelist__item -->
      {% if forloop.last == true %}
    </ul><!-- .deepest-catelist__list -->
  </section><!-- .deepest-catelist -->
</div><!-- .deepest-catelist-wrap -->
{% endif %}
{% endfor %}",,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
photo,cms/photo_album,写真一覧,,記事レイアウト (pages.layout.html),0,,非表示,,記事,,,docs,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
docs,faq/page,よくある質問記事,,FAQ (faq.layout.html),0,,非表示,,よくある質問,,,,,100,1,,,,,,,,よくある質問 (faq),手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
faq-search,faq/search,よくある質問検索,,FAQ (faq.layout.html),0,,非表示,,よくある質問,,,,,100,1,,,,,,,,よくある質問 (faq),手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
ezine,ezine/page,メールマガジン,,メールマガジン (ezine.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
backnumber,ezine/backnumber,メールマガジン　バックナンバー,,メールマガジン (ezine.layout.html),0,,非表示,,メールマガジン,,,ezine,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
hinanjo,article/map_search,避難所検索,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,カテゴリー/カテゴリーリスト,自治体サンプル,,,hinanjo-docs,指定順（昇順）,100,0,,,,,,,,"土砂災害 (hinanjo/dosya)
地震 (hinanjo/jishin)
津波 (hinanjo/thunami)",手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
chiki,cms/node,施設のある地域,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
blog,member/blog,ブログ,,観光情報：下層ページ (kanko-info.layout.html),20,,非表示,,観光情報,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
east,member/blog_page_location,東区,,観光情報：下層ページ (kanko-info.layout.html),10,,非表示,,地域,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
shirasagi,member/blog_page,白鷺太郎のブログ,,ブログレイアウト1 (kanko-info/blog/blog1.layout.html),0,ブログレイアウト1 (kanko-info/blog/blog1.layout.html),非表示,,,白鷺太郎のブログです。よろしくお願いしいます。,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
institution,member/photo_category,施設,,観光情報：下層ページ (kanko-info.layout.html),10,,非表示,,カテゴリー,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
search,member/photo_search,検索結果,,観光情報：下層ページ (kanko-info.layout.html),0,,非表示,,写真データベース,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
spot,member/photo_spot,おすすめスポット,,観光情報：下層ページ (kanko-info.layout.html),0,,非表示,,写真データベース,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
key-visual,key_visual/image,キービジュアル,,,0,,非表示,,,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
login,member/login,ログイン,,ログイン (login.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
mypage,member/mypage,マイページ,,マイページ (mypage.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
blog,member/my_blog,ブログ,,マイページ (mypage.layout.html),20,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
photo,member/my_photo,フォト,,マイページ (mypage.layout.html),30,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
group,member/my_group,グループ,,マイページ (mypage.layout.html),50,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
map-clickable,image_map/page,シラサギ市説明マップ,,カテゴリー：中間階層 (category-middle.layout.html),0,,非表示,,自治体サンプル,,,,,20,1,,,,,,,,,手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
purpose-guide,guide/guide,移住目的別ガイド,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,"<div class=""guide__lists"">
  <h2>#{name}</h2>
  <div class=""procedure__wrap"">
    <dl class=""procedure item-#{id}"">
      <dt>リンク URL</dt>
      <dd><a href=""#{link_url}"">#{link_url}</a></dd>
      <dt>実施場所</dt>
      <dd>#{procedure_location}</dd>
      <dt>必要なもの</dt>
      <dd>#{belongings}</dd>
      <dt>対象者</dt>
      <dd>#{procedure_applicant}</dd>
      <dt>備考</dt>
      <dd>#{remarks}</dd>
    </dl>
    <div class=""close-btn""><span>×</span>閉じる</div>
  </div>
</div>","<a class=""print-btn"" href=""javascript:void(0)"" onclick=""window.print();return false;"">結果ページを印刷</a>",,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
registration,member/registration,会員登録,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
receiver,cms/line_hub,LINE HUB,,イベントトップ (event-top.layout.html),0,,非表示,標準機能/LINE HUB,,,,,,,,,,,,,,,,手動入力,2024/6/1 6:03,,公開
search,cms/site_search,サイト内検索,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,"よくある質問 (faq)
くらしのガイド (guide)
観光・文化・スポーツ (kanko)
健康・福祉 (kenko)
子育て・教育 (kosodate)
くらし・手続き (kurashi)
お知らせ (oshirase)
産業・仕事 (sangyo)
市政情報 (shisei)
街の話題 (topics)
緊急情報 (urgency)",手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
koho,cms/group_page,広報課,,カテゴリー：中間階層 (category-middle.layout.html),10,,非表示,,,,,docs,,100,1,,"<div class=""page"">
<article class=""body"">
    <h2>広報課の概要</h2>
    <table>
        <tbody>
            <tr><th scope=""row"">所在地</th><td>シラサギ市本庁舎　3階<br /><a href=""/shisei/chosha/"">庁舎案内</a></td></tr>
            <tr><th scope=""row"">電話番号</th><td>000-000-0000</td></tr>
            <tr><th scope=""row"">ファックス番号</th><td>000-000-0000</td></tr>
            <tr><th scope=""row"">メールアドレス</th><td>koho@example.jp</td></tr>
        </tbody>
    </table>
    <h3>業務概要</h3>
    <p>市政に関する情報提供、広報紙の発行</p>
</article>
</div>",,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
testmagazine,ezine/member_page,テストメールマガジン,,メールマガジン (ezine.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
weather,rss/weather_xml,気象庁防災XML,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
urgency-layout,urgency/layout,緊急災害レイアウト,,,0,,表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",非公開
